demand,supply,time,traffic,weather,surge
122,59,evening,medium,clear,1.72
157,108,night,low,clear,1.44
78,143,afternoon,medium,snow,1.44
189,92,afternoon,high,clear,1.85
296,41,evening,medium,storm,2.14
56,180,afternoon,low,rainy,1.13
196,13,afternoon,medium,clear,1.58
154,12,morning,high,snow,2.24
109,105,morning,low,rainy,1.4
203,170,morning,low,storm,1.63
84,42,night,low,storm,2.0
207,122,afternoon,low,snow,1.57
98,74,morning,medium,snow,1.71
280,58,afternoon,high,storm,2.16
269,80,afternoon,low,rainy,1.69
164,148,evening,medium,clear,1.56
289,107,afternoon,low,storm,1.96
152,92,morning,high,snow,1.84
284,151,afternoon,high,storm,1.86
194,38,morning,high,clear,1.71
96,55,morning,low,clear,1.2
80,18,night,high,snow,2.51
161,22,evening,low,clear,1.6
136,177,night,low,snow,1.66
61,102,night,medium,clear,1.36
166,145,morning,high,clear,1.57
69,65,morning,low,rainy,1.41
127,59,afternoon,high,rainy,2.01
242,37,evening,high,snow,2.44
248,36,afternoon,low,snow,1.9
110,146,night,medium,storm,1.71
196,105,night,high,snow,2.27
195,165,afternoon,high,rainy,1.68
160,102,night,medium,snow,1.9
47,82,morning,high,rainy,1.5
184,11,evening,low,rainy,1.97
41,186,evening,high,rainy,1.52
265,101,afternoon,low,storm,1.87
157,69,evening,medium,clear,1.81
141,197,morning,high,storm,1.66
118,134,morning,high,storm,1.51
225,30,morning,medium,storm,2.08
252,116,morning,low,clear,1.53
225,23,evening,high,clear,1.96
106,93,afternoon,low,clear,1.23
231,124,morning,low,snow,1.56
231,47,afternoon,medium,clear,1.6
55,150,night,medium,clear,1.28
252,188,afternoon,low,snow,1.61
279,111,afternoon,high,rainy,1.95
166,120,evening,high,clear,1.62
241,118,evening,medium,rainy,1.96
42,88,afternoon,medium,snow,1.42
255,21,afternoon,low,storm,1.83
73,38,morning,low,rainy,1.47
177,13,evening,high,clear,1.96
271,15,evening,low,rainy,1.84
297,76,night,high,rainy,2.34
39,106,morning,medium,rainy,1.11
132,188,evening,low,snow,1.53
34,27,night,high,storm,2.23
214,37,morning,medium,snow,1.95
224,140,morning,medium,snow,1.77
75,57,afternoon,high,snow,1.91
41,20,afternoon,high,storm,1.87
231,200,afternoon,low,storm,1.64
211,170,evening,low,storm,1.86
161,109,morning,high,storm,1.85
204,110,afternoon,low,snow,1.6
146,116,afternoon,high,rainy,1.69
189,164,evening,medium,rainy,1.64
100,158,afternoon,low,storm,1.34
298,44,night,low,rainy,1.96
90,57,evening,low,clear,1.45
241,115,evening,medium,storm,2.13
126,37,afternoon,low,clear,1.55
166,165,afternoon,high,rainy,1.35
43,101,morning,high,snow,1.53
270,192,evening,low,snow,1.8
100,51,afternoon,low,clear,1.18
37,79,night,low,rainy,1.45
63,55,night,high,snow,2.24
264,73,night,medium,clear,1.92
224,194,evening,medium,clear,1.5
261,126,morning,low,snow,2.0
50,152,night,high,clear,1.44
255,111,evening,medium,snow,2.13
180,166,morning,high,rainy,1.69
261,33,morning,low,rainy,1.68
195,125,morning,low,snow,1.62
133,126,morning,medium,storm,1.74
113,193,morning,low,clear,1.0
215,31,night,high,rainy,2.28
224,21,afternoon,medium,rainy,1.73
104,55,morning,medium,storm,1.66
258,83,afternoon,low,rainy,1.79
31,169,evening,low,snow,1.5
285,149,morning,high,snow,1.85
273,126,night,medium,clear,1.92
33,72,evening,high,rainy,1.51
105,24,evening,low,rainy,1.97
182,94,morning,low,clear,1.18
121,51,evening,high,rainy,2.29
214,19,morning,medium,storm,1.97
224,27,night,high,clear,2.06
98,41,evening,medium,snow,2.2
137,166,morning,low,clear,1.0
177,119,evening,medium,storm,1.99
284,143,night,medium,rainy,1.88
149,191,evening,low,clear,1.02
268,170,morning,high,rainy,1.76
242,115,morning,medium,storm,2.01
138,12,afternoon,high,storm,2.15
64,88,evening,high,storm,1.85
88,185,evening,medium,snow,1.64
44,54,afternoon,medium,storm,1.48
275,131,morning,high,rainy,2.0
265,147,evening,medium,snow,1.99
58,143,evening,high,storm,1.81
39,63,evening,medium,clear,1.29
173,17,evening,medium,rainy,2.01
229,57,morning,medium,storm,2.04
169,115,morning,medium,rainy,1.47
184,65,evening,low,clear,1.67
49,61,morning,medium,clear,1.06
286,49,afternoon,medium,snow,2.05
298,89,evening,low,clear,1.76
294,183,afternoon,low,clear,1.19
297,39,morning,medium,clear,1.64
74,95,night,low,clear,1.2
189,15,evening,high,rainy,2.16
128,83,evening,high,storm,2.15
90,79,afternoon,low,storm,1.52
293,36,afternoon,high,storm,2.21
168,46,evening,high,rainy,2.13
189,166,evening,high,snow,2.01
44,130,morning,low,snow,1.21
248,110,afternoon,high,snow,2.22
189,95,afternoon,high,clear,1.59
268,155,afternoon,low,snow,1.52
188,185,night,medium,rainy,1.89
103,167,evening,medium,snow,1.54
199,93,night,medium,clear,1.81
87,99,night,medium,rainy,1.46
208,164,afternoon,high,clear,1.48
84,93,morning,medium,snow,1.38
241,71,afternoon,high,rainy,2.09
226,26,evening,low,snow,2.16
252,155,evening,high,rainy,1.83
69,199,night,low,snow,1.57
79,123,afternoon,medium,snow,1.31
85,185,night,medium,snow,1.73
61,33,afternoon,low,clear,1.25
106,125,evening,medium,snow,1.54
192,86,evening,medium,storm,2.3
34,166,night,low,storm,1.51
57,10,evening,low,storm,2.17
150,120,night,high,storm,2.24
237,107,night,high,rainy,2.33
273,45,afternoon,high,snow,2.27
214,116,afternoon,medium,rainy,1.43
66,175,morning,low,snow,1.33
99,31,afternoon,high,snow,2.27
247,169,afternoon,medium,snow,1.71
260,108,evening,low,rainy,1.88
33,157,night,high,rainy,1.74
167,115,evening,low,clear,1.41
218,38,night,high,clear,2.03
299,81,night,high,clear,2.1
75,72,night,high,clear,1.84
189,166,morning,medium,clear,1.29
292,130,evening,medium,storm,2.29
180,84,afternoon,low,storm,1.95
163,25,night,high,rainy,2.31
179,198,morning,medium,snow,1.32
288,29,evening,medium,rainy,2.02
170,75,morning,high,clear,1.82
107,178,night,medium,rainy,1.45
150,134,afternoon,high,clear,1.47
73,47,afternoon,medium,snow,1.75
151,179,night,high,rainy,1.64
206,23,evening,low,clear,1.63
234,131,evening,medium,rainy,1.68
229,131,evening,low,snow,1.7
259,107,evening,high,clear,1.92
211,120,evening,medium,storm,1.85
80,75,night,medium,rainy,1.85
129,143,evening,high,rainy,1.56
35,182,morning,low,clear,1.0
298,36,night,medium,rainy,2.15
158,59,morning,low,clear,1.41
141,163,morning,high,clear,1.12
96,106,afternoon,low,rainy,1.05
269,179,morning,high,snow,1.98
171,119,evening,medium,rainy,1.76
171,25,night,medium,storm,2.4
162,77,afternoon,medium,clear,1.6
132,166,night,low,snow,1.52
250,65,morning,medium,storm,1.92
67,28,evening,medium,clear,1.88
106,177,morning,low,snow,1.25
198,110,morning,high,snow,1.9
236,196,morning,high,rainy,1.6
276,41,evening,medium,storm,2.18
76,103,evening,low,snow,1.55
178,175,afternoon,low,clear,1.29
127,86,night,low,storm,1.9
254,198,afternoon,low,clear,1.14
152,135,night,low,storm,1.9
260,14,morning,medium,clear,1.57
51,113,morning,low,snow,1.39
106,199,afternoon,low,clear,1.0
280,177,morning,medium,clear,1.25
96,13,afternoon,high,clear,1.88
79,126,afternoon,high,clear,1.26
84,39,night,high,rainy,2.21
133,119,evening,high,snow,2.06
100,92,afternoon,low,rainy,1.37
91,80,afternoon,medium,rainy,1.54
114,122,afternoon,high,clear,1.13
222,50,morning,medium,clear,1.5
121,32,evening,medium,snow,2.24
135,46,evening,high,snow,2.38
119,166,morning,high,rainy,1.44
75,170,evening,medium,snow,1.5
150,59,morning,high,clear,1.82
289,66,night,high,rainy,2.26
129,38,afternoon,high,snow,2.2
111,181,morning,low,storm,1.26
252,74,evening,high,snow,2.31
56,147,afternoon,low,clear,1.0
89,28,afternoon,high,snow,2.22
196,117,afternoon,high,storm,1.85
86,93,afternoon,low,rainy,1.15
132,106,afternoon,low,snow,1.62
57,121,afternoon,low,snow,1.24
221,44,night,high,rainy,2.33
168,61,evening,low,clear,1.74
60,81,afternoon,low,snow,1.29
117,97,afternoon,medium,rainy,1.56
117,157,afternoon,low,snow,1.37
280,65,night,medium,storm,2.2
249,198,afternoon,low,storm,1.59
143,161,afternoon,high,clear,1.18
52,20,night,high,clear,2.09
231,132,morning,medium,snow,1.65
36,187,night,low,rainy,1.37
152,175,morning,low,snow,1.33
112,190,night,high,clear,1.6
267,45,night,low,storm,2.23
30,170,morning,medium,storm,1.41
181,119,evening,high,rainy,1.96
71,168,evening,high,clear,1.4
216,23,morning,medium,storm,1.99
50,103,evening,low,clear,1.11
134,45,evening,low,clear,1.73
137,200,afternoon,medium,storm,1.48
287,184,night,medium,clear,1.51
206,125,night,high,clear,1.79
179,125,evening,high,clear,1.64
264,32,morning,medium,rainy,1.76
69,37,afternoon,medium,clear,1.34
284,48,afternoon,high,clear,1.76
97,131,evening,medium,snow,1.65
40,84,afternoon,low,clear,1.0
148,143,evening,medium,storm,1.93
197,134,night,medium,storm,2.01
186,53,evening,low,snow,2.07
177,22,afternoon,medium,storm,1.99
115,168,afternoon,high,storm,1.54
119,191,afternoon,low,rainy,1.02
192,157,afternoon,medium,storm,1.67
135,153,morning,high,storm,1.7
105,105,night,high,rainy,1.71
92,16,night,medium,rainy,2.19
193,49,morning,high,storm,2.23
181,131,evening,high,rainy,1.96
256,96,morning,high,snow,2.28
101,183,morning,medium,clear,1.0
142,124,evening,low,storm,1.71
129,159,afternoon,medium,rainy,1.1
258,183,morning,high,snow,1.84
192,164,morning,high,storm,1.88
248,104,night,medium,clear,1.86
209,88,night,high,clear,2.04
257,199,night,medium,storm,1.93
247,196,night,low,clear,1.43
185,131,evening,low,snow,1.72
239,173,evening,medium,rainy,1.71
100,61,afternoon,medium,storm,1.71
51,87,evening,medium,snow,1.54
31,49,evening,medium,snow,1.52
177,116,afternoon,medium,rainy,1.41
171,136,morning,high,storm,1.92
253,76,night,high,clear,2.07
38,76,afternoon,high,clear,1.13
266,187,afternoon,medium,rainy,1.41
214,117,evening,low,storm,1.76
69,141,afternoon,high,rainy,1.45
115,149,evening,medium,storm,1.55
215,34,evening,low,clear,1.63
174,105,night,medium,storm,2.08
113,36,afternoon,low,rainy,1.77
299,146,morning,medium,snow,2.08
89,43,morning,medium,storm,1.96
215,45,night,high,storm,2.43
185,17,morning,low,rainy,1.77
102,186,afternoon,medium,rainy,1.14
70,118,morning,low,clear,1.0
250,20,afternoon,low,clear,1.56
292,161,morning,medium,clear,1.38
52,26,evening,high,clear,1.75
93,164,afternoon,high,rainy,1.34
209,17,morning,low,storm,1.99
208,100,afternoon,high,rainy,2.0
64,35,morning,high,rainy,1.74
174,53,morning,high,clear,1.88
288,191,night,medium,rainy,1.79
84,56,evening,medium,snow,1.84
146,114,morning,medium,clear,1.29
296,44,night,medium,storm,2.31
50,31,evening,medium,clear,1.48
263,163,evening,high,snow,2.05
238,84,night,low,clear,1.88
273,183,evening,low,clear,1.5
281,182,morning,medium,snow,1.7
73,40,afternoon,medium,snow,1.74
82,199,afternoon,low,storm,1.4
203,61,night,low,rainy,2.07
285,81,evening,high,snow,2.37
237,134,evening,low,snow,1.72
158,135,night,low,rainy,1.61
57,27,night,high,clear,2.19
225,164,evening,low,storm,1.82
79,29,night,medium,rainy,2.06
284,135,evening,high,storm,2.46
39,18,night,low,snow,2.19
222,123,night,low,clear,1.44
185,190,afternoon,medium,snow,1.33
229,134,morning,high,snow,1.93
270,131,afternoon,high,clear,1.78
283,161,night,high,storm,2.25
175,92,morning,low,clear,1.13
217,99,morning,high,storm,2.18
249,98,evening,medium,storm,2.11
155,73,afternoon,high,storm,2.22
63,88,morning,medium,rainy,1.1
196,19,night,high,snow,2.51
245,78,morning,high,snow,2.22
192,106,night,medium,clear,1.66
81,186,afternoon,medium,snow,1.4
203,52,evening,medium,snow,2.14
68,147,afternoon,medium,storm,1.31
235,67,morning,high,clear,1.82
169,27,night,medium,rainy,2.07
69,176,evening,high,storm,1.79
190,61,night,medium,storm,2.32
262,181,afternoon,low,rainy,1.42
139,179,night,medium,snow,1.79
60,143,afternoon,medium,snow,1.33
107,185,evening,medium,snow,1.56
62,172,afternoon,medium,storm,1.46
112,75,afternoon,medium,rainy,1.42
128,17,afternoon,medium,snow,2.0
253,118,morning,low,rainy,1.65
44,76,evening,high,rainy,1.63
51,194,night,low,clear,1.27
72,90,evening,low,snow,1.58
76,111,afternoon,low,clear,1.0
286,40,evening,medium,clear,1.75
92,90,evening,high,snow,2.16
150,118,afternoon,low,clear,1.14
170,122,night,medium,clear,1.6
221,189,morning,medium,snow,1.69
156,81,afternoon,medium,snow,1.74
187,15,morning,high,clear,1.84
152,74,night,medium,storm,2.38
92,146,afternoon,medium,snow,1.3
231,75,evening,low,rainy,1.86
112,122,evening,high,snow,1.86
170,30,night,medium,snow,2.39
200,193,night,low,rainy,1.74
289,26,evening,medium,storm,2.19
44,23,afternoon,high,snow,1.96
99,10,night,low,storm,2.16
72,38,afternoon,low,rainy,1.47
240,91,night,medium,rainy,2.05
197,82,afternoon,low,snow,1.87
231,106,afternoon,low,clear,1.58
147,32,night,low,storm,2.24
116,22,night,high,snow,2.52
106,32,evening,low,clear,1.6
299,121,night,high,snow,2.42
134,58,evening,medium,snow,2.18
250,62,afternoon,medium,rainy,1.78
239,47,morning,medium,storm,1.95
260,73,evening,high,snow,2.32
270,44,evening,high,snow,2.44
226,191,night,high,storm,2.11
60,23,evening,low,snow,2.18
53,11,evening,high,snow,2.36
232,181,evening,low,clear,1.42
163,53,night,medium,snow,2.23
192,191,night,low,storm,1.52
52,42,night,medium,storm,2.09
174,77,evening,high,storm,2.39
114,90,night,low,snow,1.81
106,23,afternoon,low,clear,1.49
113,190,night,medium,clear,1.4
283,20,night,medium,snow,2.29
87,194,afternoon,low,storm,1.22
175,56,afternoon,high,storm,2.21
138,159,morning,high,rainy,1.38
69,73,night,high,clear,1.58
43,82,morning,medium,storm,1.42
84,92,afternoon,low,clear,1.0
275,126,evening,high,clear,1.97
52,177,night,medium,rainy,1.44
54,174,evening,medium,clear,1.25
225,33,night,medium,rainy,2.05
234,32,morning,low,rainy,1.68
236,82,afternoon,low,storm,1.9
251,198,evening,high,rainy,1.87
79,104,afternoon,medium,snow,1.48
273,78,night,low,snow,2.26
125,121,night,low,clear,1.5
267,183,afternoon,high,rainy,1.79
299,171,morning,medium,snow,1.69
274,86,afternoon,low,storm,1.97
297,119,evening,high,clear,2.01
53,141,morning,high,snow,1.58
267,179,evening,medium,storm,1.92
287,14,morning,high,snow,2.14
123,110,morning,low,snow,1.68
182,90,night,high,snow,2.22
165,97,afternoon,low,rainy,1.32
162,182,morning,medium,clear,1.0
89,13,afternoon,high,snow,2.19
237,178,night,medium,storm,2.04
232,87,morning,low,rainy,1.6
87,14,afternoon,low,rainy,1.7
104,176,afternoon,medium,rainy,1.12
267,47,night,medium,clear,1.82
108,199,night,medium,snow,1.6
260,159,afternoon,low,storm,1.61
230,23,evening,low,clear,1.73
251,116,night,high,storm,2.41
234,134,night,low,clear,1.51
246,157,evening,high,clear,1.65
243,131,morning,medium,storm,1.69
253,15,afternoon,medium,rainy,1.79
254,69,afternoon,high,storm,2.28
269,43,evening,high,snow,2.49
214,130,afternoon,high,rainy,1.66
74,180,night,low,rainy,1.34
281,35,night,medium,storm,2.25
54,14,evening,medium,storm,2.24
119,138,morning,low,storm,1.29
146,40,afternoon,medium,storm,2.1
211,21,evening,low,clear,1.74
254,127,morning,low,clear,1.26
51,139,morning,low,clear,1.0
215,50,evening,high,snow,2.45
285,197,morning,low,storm,1.57
100,41,afternoon,medium,snow,2.05
33,72,night,medium,storm,1.7
73,78,evening,high,snow,1.77
155,48,night,low,rainy,2.06
241,114,night,high,storm,2.59
256,47,morning,high,clear,1.72
191,112,afternoon,medium,clear,1.28
48,179,afternoon,high,clear,1.3
296,85,night,medium,storm,2.34
190,98,morning,medium,rainy,1.54
258,174,afternoon,high,snow,1.94
237,60,evening,low,clear,1.71
229,195,afternoon,high,storm,1.84
291,151,evening,high,storm,2.15
111,15,morning,high,storm,2.15
185,195,night,high,clear,1.55
220,76,evening,low,clear,1.75
93,124,evening,high,clear,1.39
150,200,afternoon,medium,storm,1.36
101,192,night,high,rainy,1.62
294,159,afternoon,medium,snow,1.62
247,115,morning,low,clear,1.48
96,131,afternoon,medium,clear,1.0
299,113,night,medium,snow,2.33
255,186,night,high,snow,2.26
103,139,afternoon,medium,snow,1.33
292,145,morning,high,rainy,1.69
46,50,evening,low,snow,1.42
219,156,evening,low,rainy,1.52
186,105,evening,medium,snow,1.81
103,46,night,low,storm,2.28
140,56,night,low,clear,1.81
64,21,night,medium,storm,2.31
202,106,night,high,rainy,2.05
288,172,night,medium,snow,1.93
196,32,night,medium,rainy,2.18
203,148,morning,high,snow,1.95
75,52,morning,high,storm,1.91
93,174,morning,low,clear,1.0
297,58,night,high,clear,2.02
122,14,evening,low,rainy,1.97
257,31,evening,medium,clear,1.8
41,97,night,low,snow,1.5
300,91,night,medium,clear,1.82
80,148,afternoon,medium,rainy,1.14
75,49,evening,medium,rainy,1.61
196,56,morning,high,clear,1.76
80,91,afternoon,medium,storm,1.35
91,23,afternoon,low,rainy,1.7
288,108,morning,medium,clear,1.56
238,26,night,low,snow,2.23
39,78,morning,low,rainy,1.06
238,124,morning,high,rainy,1.76
102,105,afternoon,low,snow,1.39
261,20,morning,medium,storm,2.03
115,10,morning,medium,storm,2.02
224,99,afternoon,high,storm,2.11
65,86,morning,medium,clear,1.07
173,120,afternoon,high,storm,1.98
205,172,evening,high,snow,2.05
194,97,afternoon,medium,storm,1.6
98,175,morning,high,snow,1.5
34,182,afternoon,medium,snow,1.45
71,176,morning,high,clear,1.28
257,182,morning,medium,snow,1.77
213,109,afternoon,high,clear,1.42
219,59,night,low,rainy,2.05
173,184,evening,low,clear,1.16
185,193,afternoon,low,snow,1.39
48,81,night,high,rainy,1.6
232,38,evening,high,snow,2.33
129,178,afternoon,low,rainy,1.15
95,76,afternoon,high,storm,1.84
41,187,evening,high,snow,1.7
248,174,morning,medium,snow,1.77
238,80,morning,high,snow,2.2
294,21,afternoon,low,storm,1.98
259,90,morning,medium,rainy,1.77
42,198,afternoon,high,snow,1.69
157,60,afternoon,medium,storm,1.91
79,17,night,medium,clear,1.92
201,74,afternoon,low,snow,1.85
204,23,evening,high,rainy,2.29
254,34,night,high,clear,2.02
61,18,night,medium,clear,1.96
61,123,morning,medium,snow,1.31
58,153,morning,medium,snow,1.38
240,69,morning,medium,snow,1.99
249,168,morning,medium,clear,1.29
198,160,afternoon,low,clear,1.1
64,161,afternoon,high,rainy,1.43
161,100,night,medium,snow,1.94
100,21,morning,low,storm,1.92
292,176,evening,medium,rainy,1.63
188,164,evening,medium,storm,1.99
295,160,afternoon,low,rainy,1.4
57,118,evening,low,rainy,1.33
133,27,evening,low,snow,2.14
269,163,evening,high,storm,2.12
244,94,afternoon,low,snow,1.98
51,136,afternoon,low,rainy,1.14
268,169,afternoon,low,snow,1.65
199,199,night,low,snow,1.54
33,102,morning,low,storm,1.21
88,46,evening,medium,rainy,1.73
214,21,morning,low,rainy,1.66
142,77,afternoon,medium,rainy,1.44
41,55,evening,low,clear,1.17
100,107,morning,medium,rainy,1.16
152,104,evening,high,rainy,1.99
252,192,morning,low,rainy,1.48
96,58,afternoon,high,snow,1.94
192,163,night,high,rainy,2.08
126,147,evening,low,storm,1.45
173,42,night,low,clear,1.86
63,52,night,high,storm,2.2
267,55,evening,high,storm,2.41
277,193,night,medium,storm,2.02
48,63,afternoon,low,snow,1.37
232,65,evening,medium,snow,2.21
221,75,morning,low,clear,1.46
295,100,afternoon,high,clear,1.79
202,119,night,medium,snow,1.98
284,91,evening,medium,clear,1.74
149,77,morning,medium,clear,1.26
286,141,morning,medium,rainy,1.72
66,102,morning,high,rainy,1.37
198,74,evening,high,storm,2.34
100,193,evening,low,storm,1.46
207,113,night,high,clear,1.79
292,48,night,low,rainy,2.04
137,131,afternoon,high,snow,1.94
266,97,morning,medium,rainy,1.79
243,63,night,medium,clear,1.87
95,88,morning,medium,storm,1.67
244,118,night,high,storm,2.47
41,155,morning,low,rainy,1.2
199,155,night,medium,rainy,1.89
62,146,night,low,snow,1.52
261,173,evening,low,rainy,1.52
120,18,night,low,rainy,1.94
227,82,afternoon,low,storm,1.93
65,126,morning,medium,clear,1.0
240,110,afternoon,low,rainy,1.71
274,200,morning,medium,rainy,1.43
135,89,night,high,snow,2.13
188,160,afternoon,high,snow,1.86
33,46,night,low,snow,1.62
156,144,evening,high,snow,2.09
50,198,morning,medium,snow,1.37
182,110,afternoon,medium,rainy,1.44
251,127,night,high,rainy,2.04
78,110,morning,low,rainy,1.05
179,180,morning,high,rainy,1.48
240,151,morning,medium,clear,1.35
288,93,night,medium,rainy,2.05
289,21,night,low,clear,1.83
266,107,evening,high,snow,2.47
233,19,morning,medium,clear,1.64
99,93,night,medium,snow,1.91
154,192,night,low,snow,1.66
112,53,morning,high,clear,1.74
93,146,night,low,clear,1.23
35,183,evening,low,snow,1.47
140,192,morning,high,rainy,1.39
54,172,morning,medium,storm,1.39
32,22,night,low,rainy,1.67
152,61,morning,low,snow,1.81
37,96,afternoon,high,clear,1.14
79,180,afternoon,high,rainy,1.31
292,37,evening,medium,rainy,2.02
232,119,morning,low,rainy,1.32
195,54,morning,medium,storm,1.9
138,127,afternoon,low,storm,1.63
218,21,morning,low,snow,1.86
285,36,afternoon,medium,clear,1.62
228,183,afternoon,medium,rainy,1.53
192,180,night,low,storm,1.8
259,107,afternoon,high,clear,1.75
93,89,afternoon,high,snow,1.95
70,25,afternoon,medium,snow,1.96
107,106,afternoon,high,clear,1.15
257,199,evening,low,storm,1.76
50,143,night,high,storm,1.95
147,197,evening,medium,rainy,1.34
57,180,afternoon,high,rainy,1.42
225,143,evening,low,snow,1.83
63,135,morning,low,clear,1.0
102,62,afternoon,low,rainy,1.42
134,70,morning,medium,snow,1.66
131,72,night,low,rainy,1.66
259,172,afternoon,medium,snow,1.62
214,111,night,low,snow,1.89
288,166,night,low,snow,1.8
225,119,morning,medium,rainy,1.51
119,75,night,medium,storm,1.99
222,153,night,low,storm,1.83
270,60,afternoon,low,clear,1.4
286,196,evening,medium,snow,1.99
232,200,evening,medium,snow,1.86
66,114,morning,low,snow,1.39
113,59,night,medium,storm,2.0
280,172,evening,high,clear,1.73
247,198,afternoon,low,snow,1.51
